episode,return,steps,success,end_reason,return_ma,success_rate_ma
397,-29.599999999999998,29,0,enemy,-29.36375,0.0
398,-27.1,22,0,trap,-29.304999999999996,0.0
399,-26.2,13,0,trap,-29.277500000000003,0.0
400,-27.4,16,0,trap,-29.292499999999997,0.0
401,-27.9,21,0,trap,-29.32125,0.0
402,-29.999999999999996,33,0,trap,-29.359999999999996,0.0
403,-26.5,16,0,enemy,-29.35625,0.0
404,-31.899999999999995,52,0,trap,-29.40625,0.0
405,-31.099999999999994,53,0,trap,-29.448749999999997,0.0
406,-28.400000000000002,35,0,trap,-29.43875,0.0
407,-33.39999999999999,67,0,trap,-29.475,0.0
408,-28.0,22,0,trap,-29.502499999999998,0.0
409,-28.400000000000002,17,0,enemy,-29.5075,0.0
410,-30.6,30,0,enemy,-29.555,0.0
411,-50.70000000000003,78,0,trap,-29.81875,0.0
412,-27.6,18,0,enemy,-29.829999999999995,0.0
413,-25.7,8,0,trap,-29.752499999999998,0.0
414,-38.89999999999999,68,0,trap,-29.865000000000002,0.0
415,-29.0,32,0,trap,-29.90625,0.0
416,-29.799999999999997,40,0,trap,-29.866249999999997,0.0
417,-33.39999999999999,58,0,enemy,-29.89875,0.0
418,-28.900000000000002,22,0,trap,-29.9175,0.0
419,-29.5,37,0,enemy,-29.95,0.0
420,-28.400000000000002,17,0,trap,-29.919999999999998,0.0
421,-27.6,27,0,trap,-29.840000000000003,0.0
422,-34.399999999999984,77,0,trap,-29.932499999999997,0.0
423,-26.5,16,0,trap,-29.85,0.0
424,-28.400000000000002,35,0,trap,-29.859999999999996,0.0
425,-33.199999999999996,47,0,trap,-29.911250000000003,0.0
426,-26.3,14,0,trap,-29.859999999999996,0.0
427,-28.900000000000002,22,0,trap,-29.89875,0.0
428,-33.099999999999994,46,0,trap,-29.978749999999998,0.0
429,-27.5,17,0,enemy,-29.93875,0.0
430,-27.8,29,0,trap,-29.90625,0.0
431,-27.4,16,0,trap,-29.9125,0.0
432,-29.3,35,0,trap,-29.873749999999994,0.0
433,-34.199999999999996,66,0,trap,-29.97875,0.0
434,-40.599999999999994,49,0,enemy,-30.171249999999997,0.0
