episode,return,steps,success,end_reason,return_ma,success_rate_ma
483,23.3,28,1,goal,6.64625,0.625
484,25.0,20,1,goal,7.248749999999999,0.6375
485,-21.2,14,0,enemy,6.6875,0.625
486,20.1,33,1,goal,7.2,0.6375
487,23.6,25,1,goal,7.16375,0.6375
488,26.4,15,1,goal,7.2075000000000005,0.6375
489,25.5,15,1,goal,7.840000000000001,0.65
490,-21.2,20,0,enemy,7.2574999999999985,0.6375
491,-21.9,27,0,enemy,6.66875,0.625
492,20.7,27,1,goal,6.61125,0.625
493,-24.1,16,0,trap,6.01125,0.6125
494,25.5,15,1,goal,6.01875,0.6125
495,-23.0,5,0,trap,5.41375,0.6
496,25.4,16,1,goal,6.01875,0.6125
497,-21.9,12,0,trap,6.0375,0.6125
498,-22.0,7,0,trap,5.505,0.6
499,26.1,18,1,goal,6.1187499999999995,0.6125
500,23.5,17,1,goal,6.08625,0.6125
501,25.4,25,1,goal,6.13375,0.6125
502,25.8,21,1,goal,6.1425,0.6125
503,-22.3,10,0,enemy,6.15125,0.6125
504,-23.5,10,0,trap,5.55375,0.6
505,23.6,25,1,goal,6.1425,0.6125
506,23.599999999999998,25,1,goal,6.14625,0.6125
507,25.1,19,1,goal,6.1587499999999995,0.6125
508,19.7,46,1,goal,6.70125,0.625
509,24.9,21,1,goal,7.3125,0.6375
510,26.3,16,1,goal,7.3462499999999995,0.6375
511,19.6,29,1,goal,7.878749999999999,0.65
512,25.2,18,1,goal,8.49375,0.6625
513,-22.8,36,0,enemy,8.49875,0.6625
514,23.8,23,1,goal,9.0875,0.675
515,24.0,21,1,goal,9.059999999999999,0.675
516,26.5,14,1,goal,9.06875,0.675
517,-21.9,12,0,enemy,8.49875,0.6625
518,-22.9,16,0,trap,8.506249999999998,0.6625
519,-24.2,5,0,trap,7.88125,0.65
520,26.5,14,1,goal,7.90125,0.65
521,26.1,18,1,goal,7.9662500000000005,0.65
522,23.8,23,1,goal,7.977499999999999,0.65
523,-23.8,13,0,trap,7.94,0.65
524,26.1,18,1,goal,7.951249999999999,0.65
525,25.3,17,1,goal,8.5325,0.6625
526,-22.8,15,0,trap,8.54125,0.6625
527,25.0,20,1,goal,8.544999999999998,0.6625
528,25.9,20,1,goal,9.16875,0.675
529,25.3,17,1,goal,9.1975,0.675
530,24.2,19,1,goal,9.172500000000001,0.675
531,21.5,28,1,goal,9.110000000000001,0.675
532,22.9,23,1,goal,9.68,0.6875
533,25.0,20,1,goal,9.716249999999999,0.6875
534,25.1,19,1,goal,10.322500000000002,0.7
535,25.3,17,1,goal,10.92625,0.7125
536,21.8,25,1,goal,10.867500000000001,0.7125
537,25.7,22,1,goal,10.864999999999998,0.7125
538,26.4,15,1,goal,11.4925,0.725
539,-23.1,6,0,enemy,11.48875,0.725
540,25.3,17,1,goal,11.485,0.725
541,21.0,24,1,goal,12.0125,0.7375
542,26.4,15,1,goal,12.01875,0.7375
543,26.3,16,1,goal,12.035,0.7375
544,26.2,17,1,goal,12.045,0.7375
545,-22.5,6,0,enemy,12.06375,0.7375
546,25.3,17,1,goal,12.67375,0.75
547,24.1,20,1,goal,12.6725,0.75
548,-23.0,5,0,trap,12.059999999999999,0.7375
549,25.9,20,1,goal,12.08,0.7375
550,25.8,21,1,goal,12.071250000000001,0.7375
551,26.3,16,1,goal,12.11125,0.7375
552,-23.3,11,0,trap,11.502500000000001,0.725
553,26.2,17,1,goal,12.143749999999999,0.7375
554,25.9,20,1,goal,12.1625,0.7375
555,26.5,14,1,goal,12.19375,0.7375
556,25.6,23,1,goal,12.21375,0.7375
557,26.5,14,1,goal,12.23875,0.7375
558,25.1,19,1,goal,12.857499999999998,0.75
559,-23.7,15,0,trap,12.25625,0.7375
560,24.1,20,1,goal,12.252500000000001,0.7375
561,24.5,16,1,goal,12.84875,0.75
562,24.1,20,1,goal,12.83125,0.75
563,26.3,16,1,goal,12.86875,0.75
564,26.2,17,1,goal,12.883750000000001,0.75
565,26.3,16,1,goal,13.477500000000001,0.7625
566,-23.6,11,0,trap,12.93125,0.75
567,-20.5,10,0,enemy,12.379999999999999,0.7375
568,26.0,19,1,goal,12.375,0.7375
569,23.5,26,1,goal,12.35,0.7375
570,24.4,26,1,goal,12.920000000000002,0.75
571,26.5,14,1,goal,13.525,0.7625
572,24.5,25,1,goal,13.572500000000002,0.7625
573,25.2,18,1,goal,14.188749999999999,0.775
